time,vehicle_id,vehicle_type,edge_id,lane_id,speed,waiting_time,position_x,position_y
3575.0,reverse_cars.36,car,24231604#3,24231604#3_1,0.0,10.0,4496.81,11894.118
3575.0,reverse_cars.37,car,24231604#3,24231604#3_1,0.0,8.0,4503.729,11891.215
3575.0,reverse_cars.38,car,24231604#3,24231604#3_1,0.001,6.0,4510.647,11888.312
3575.0,reverse_cars.39,car,24231604#3,24231604#3_1,0.015,5.0,4517.569,11885.408
3575.0,reverse_cars.40,car,24231604#3,24231604#3_1,0.019,2.0,4524.506,11882.497
3575.0,reverse_cars.42,car,24231604#3,24231604#3_1,0.13,0.0,4544.924,11873.93
3575.0,reverse_cars.43,car,24231604#3,24231604#3_1,0.163,0.0,4552.046,11870.941
3575.0,reverse_cars.46,car,24231604#3,24231604#3_1,0.105,0.0,4559.202,11867.938
3575.0,reverse_cars.48,car,24231604#3,24231604#3_1,0.644,0.0,4566.473,11864.888
3575.0,reverse_cars.50,car,24231604#3,24231604#3_1,2.18,0.0,4590.178,11855.517
3575.0,reverse_cars.51,car,24231604#3,24231604#3_1,0.607,0.0,4574.319,11861.654
3575.0,reverse_cars.52,car,24231604#3,24231604#3_1,0.842,0.0,4582.073,11858.654
3575.0,reverse_cars.53,car,24231604#3,24231604#3_1,1.904,0.0,4608.874,11848.282
3575.0,reverse_cars.55,car,:cluster_12074449275_3240631510_0,:cluster_12074449275_3240631510_0_1,4.478,0.0,4623.672,11842.044
3575.0,reverse_cars.56,car,24231604#2,24231604#2_1,1.472,0.0,4635.196,11836.051
3575.0,reverse_cars.58,car,24231604#3,24231604#3_1,2.272,0.0,4599.502,11851.909
3575.0,reverse_cars.59,car,24231604#2,24231604#2_1,0.0,80.0,4643.472,11832.588
3575.0,reverse_cars.60,car,24231604#2,24231604#2_1,0.0,78.0,4650.391,11829.692
3575.0,reverse_cars.64,car,24231604#2,24231604#2_1,0.0,77.0,4657.309,11826.797
3575.0,reverse_cars.65,car,24231604#2,24231604#2_1,0.0,74.0,4677.603,11818.305
3575.0,reverse_cars.67,car,24231604#2,24231604#2_1,0.0,72.0,4684.522,11815.41
3575.0,reverse_cars.71,car,24231604#2,24231604#2_1,0.0,70.0,4691.44,11812.515
3575.0,reverse_cars.75,car,24231604#2,24231604#2_1,0.0,68.0,4698.359,11809.62
3575.0,reverse_cars.77,car,24231604#2,24231604#2_1,0.0,67.0,4705.277,11806.725
3575.0,reverse_cars.78,car,24231604#2,24231604#2_1,0.0,65.0,4712.196,11803.83
3575.0,reverse_cars.79,car,24231604#2,24231604#2_1,0.0,64.0,4719.114,11800.934
3575.0,reverse_cars.80,car,24231604#2,24231604#2_1,0.0,62.0,4726.033,11798.039
3575.0,reverse_cars.82,car,24231604#1,24231604#1_1,0.0,65.0,4761.912,11783.009
3575.0,reverse_cars.83,car,24231604#2,24231604#2_1,0.0,61.0,4732.951,11795.144
3575.0,reverse_cars.84,car,24231604#1,24231604#1_1,0.0,63.0,4768.833,11780.111
3575.0,reverse_cars.85,car,24231604#1,24231604#1_1,0.0,61.0,4775.753,11777.214
3575.0,reverse_cars.86,car,24231604#1,24231604#1_1,0.0,60.0,4782.712,11774.409
3575.0,reverse_cars.87,car,24231604#1,24231604#1_1,0.0,57.0,4789.673,11771.609
3575.0,reverse_cars.88,car,24231604#1,24231604#1_1,0.0,57.0,4796.634,11768.809
3575.0,reverse_cars.89,car,24231604#1,24231604#1_1,0.0,56.0,4803.595,11766.01
3575.0,reverse_cars.90,car,24231604#1,24231604#1_1,0.0,53.0,4810.556,11763.21
3575.0,reverse_cars.91,car,24231604#1,24231604#1_1,0.0,52.0,4817.517,11760.41
3575.0,reverse_cars.92,car,24231604#0,24231604#0_1,0.0,58.0,4838.129,11751.873
3575.0,reverse_cars.93,car,24231604#0,24231604#0_1,0.0,55.0,4845.012,11748.895
3575.0,reverse_cars.94,car,24231604#0,24231604#0_1,0.0,53.0,4851.895,11745.917
3575.0,reverse_cars.95,car,24231604#0,24231604#0_1,0.0,51.0,4858.779,11742.939
3575.0,reverse_cars.96,car,24231604#0,24231604#0_1,0.0,50.0,4865.662,11739.961
3575.0,reverse_cars.97,car,24231604#0,24231604#0_1,0.0,6.0,4872.545,11736.983
3575.0,reverse_cars.98,car,150510724#4,150510724#4_2,0.0,50.0,4887.137,11748.359
